MSSubClass,MSZoning,LotFrontage,,MSSubClass,MSZoning,LotFrontage
60,RL,65,,60,RL,65
20,RL,80,,20,RL,80
60,RL,68,,60,RL,68
70,RL,60,,70,RL,60
60,RL,84,,60,RL,84
50,RL,85,,50,RL,85
20,RL,75,,20,RL,75
60,RL,81.62135922,,60,RL,NA
50,RM,51,,50,RM,51
190,RL,50,,190,RL,50
20,RL,70,,20,RL,70
60,RL,85,,60,RL,85
20,RL,78.06569343,,20,RL,NA
20,RL,91,,20,RL,91
20,RL,78.06569343,,20,RL,NA
45,RM,51,,45,RM,51
20,RL,78.06569343,,20,RL,NA
90,RL,72,,90,RL,72
20,RL,66,,20,RL,66
20,RL,70,,20,RL,70
60,RL,101,,60,RL,101
45,RM,57,,45,RM,57
20,RL,75,,20,RL,75
120,RM,44,,120,RM,44
20,RL,78.06569343,,20,RL,NA
20,RL,110,,20,RL,110
20,RL,60,,20,RL,60
20,RL,98,,20,RL,98
20,RL,47,,20,RL,47
30,RM,60,,30,RM,60
70,C (all),50,,70,C (all),50
20,RL,78.06569343,,20,RL,NA
20,RL,85,,20,RL,85
20,RL,70,,20,RL,70
120,RL,60,,120,RL,60
60,RL,108,,60,RL,108
20,RL,112,,20,RL,112
20,RL,74,,20,RL,74
20,RL,68,,20,RL,68
90,RL,65,,90,RL,65
20,RL,84,,20,RL,84
20,RL,115,,20,RL,115
85,RL,71.57142857,,85,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,70,,20,RL,70
120,RL,61,,120,RL,61
50,RL,48,,50,RL,48
20,FV,84,,20,FV,84
190,RM,33,,190,RM,33
20,RL,66,,20,RL,66
60,RL,81.62135922,,60,RL,NA
50,RM,52,,50,RM,52
90,RM,110,,90,RM,110
20,RL,68,,20,RL,68
80,RL,60,,80,RL,60
20,RL,100,,20,RL,100
160,FV,24,,160,FV,24
60,RL,89,,60,RL,89
60,RL,66,,60,RL,66
20,RL,60,,20,RL,60
20,RL,63,,20,RL,63
75,RM,60,,75,RM,60
120,RL,44,,120,RL,44
70,RM,50,,70,RM,50
60,RL,81.62135922,,60,RL,NA
60,RL,76,,60,RL,76
20,RL,78.06569343,,20,RL,NA
20,RL,72,,20,RL,72
30,RM,47,,30,RM,47
50,RL,81,,50,RL,81
20,RL,95,,20,RL,95
20,RL,69,,20,RL,69
60,RL,74,,60,RL,74
20,RL,85,,20,RL,85
50,RM,60,,50,RM,60
180,RM,21,,180,RM,21
20,RL,78.06569343,,20,RL,NA
50,RM,50,,50,RM,50
90,RL,72,,90,RL,72
50,RM,60,,50,RM,60
60,RL,100,,60,RL,100
120,RM,32,,120,RM,32
20,RL,78,,20,RL,78
20,RL,80,,20,RL,80
80,RL,80.02631579,,80,RL,NA
60,RL,121,,60,RL,121
60,RL,122,,60,RL,122
160,FV,40,,160,FV,40
50,C (all),105,,50,C (all),105
20,RL,60,,20,RL,60
20,RL,60,,20,RL,60
20,RL,85,,20,RL,85
30,RL,80,,30,RL,80
190,C (all),60,,190,C (all),60
60,RL,69,,60,RL,69
60,RL,81.62135922,,60,RL,NA
20,RL,78,,20,RL,78
20,RL,73,,20,RL,73
30,RL,85,,30,RL,85
20,RL,77,,20,RL,77
20,RL,78.06569343,,20,RL,NA
60,RL,77,,60,RL,77
90,RL,64,,90,RL,64
20,RL,94,,20,RL,94
50,RM,57.24444444,,50,RM,NA
60,FV,75,,60,FV,75
30,RM,60,,30,RM,60
20,RM,50,,20,RM,50
50,RM,85,,50,RM,85
20,RL,105,,20,RL,105
50,RL,75,,50,RL,75
80,RL,80.02631579,,80,RL,NA
60,RL,77,,60,RL,77
20,RL,78.06569343,,20,RL,NA
70,RL,61,,70,RL,61
160,FV,34,,160,FV,34
20,RL,78.06569343,,20,RL,NA
20,RL,74,,20,RL,74
60,RL,90,,60,RL,90
60,RL,65,,60,RL,65
80,RL,80.02631579,,80,RL,NA
50,RM,50,,50,RM,50
20,RL,75,,20,RL,75
120,RL,55,,120,RL,55
20,RL,48,,20,RL,48
190,RM,60,,190,RM,60
120,RL,47.0625,,120,RL,NA
45,RM,55,,45,RM,55
60,RL,69,,60,RL,69
20,RL,69,,20,RL,69
60,RL,88,,60,RL,88
60,RL,81.62135922,,60,RL,NA
20,RL,75,,20,RL,75
20,RL,78.06569343,,20,RL,NA
20,RL,78,,20,RL,78
20,RL,80,,20,RL,80
20,RL,78.06569343,,20,RL,NA
90,RL,82,,90,RL,82
60,RL,73,,60,RL,73
60,RL,65,,60,RL,65
20,RL,70,,20,RL,70
20,RL,78,,20,RL,78
50,RL,71,,50,RL,71
20,RL,78,,20,RL,78
90,RM,70,,90,RM,70
160,RM,24,,160,RM,24
30,RM,51,,30,RM,51
60,RL,81.62135922,,60,RL,NA
20,RL,63,,20,RL,63
50,RM,57.24444444,,50,RM,NA
20,RL,120,,20,RL,120
20,RL,107,,20,RL,107
60,RL,81.62135922,,60,RL,NA
20,RL,78.06569343,,20,RL,NA
30,RM,84,,30,RM,84
50,RL,60,,50,RL,60
20,RL,60,,20,RL,60
60,RL,92,,60,RL,92
60,FV,100,,60,FV,100
60,RL,134,,60,RL,134
20,RL,78.06569343,,20,RL,NA
60,RL,110,,60,RL,110
20,RL,95,,20,RL,95
45,RL,55,,45,RL,55
40,RM,40,,40,RM,40
190,RL,62,,190,RL,62
20,RL,78.06569343,,20,RL,NA
60,RL,86,,60,RL,86
60,RL,62,,60,RL,62
20,RL,78.06569343,,20,RL,NA
50,RM,57.24444444,,50,RM,NA
20,RL,141,,20,RL,141
160,RL,44,,160,RL,44
20,RL,80,,20,RL,80
20,RL,47,,20,RL,47
20,RL,84,,20,RL,84
60,RL,97,,60,RL,97
50,RL,67.56410256,,50,RL,NA
20,RL,63,,20,RL,63
30,RM,60,,30,RM,60
160,FV,30.05882353,,160,FV,NA
70,RL,54,,70,RL,54
20,RL,60,,20,RL,60
50,RM,63,,50,RM,63
50,RL,92,,50,RL,92
75,RM,90,,75,RM,90
80,RL,80.02631579,,80,RL,NA
50,RL,60,,50,RL,60
90,RL,64,,90,RL,64
120,RL,41,,120,RL,41
70,RL,70,,70,RL,70
60,RL,81.62135922,,60,RL,NA
20,RL,68,,20,RL,68
160,RM,24,,160,RM,24
20,RL,60,,20,RL,60
160,RL,24,,160,RL,24
20,RL,79,,20,RL,79
75,RL,174,,75,RL,174
75,RM,92,,75,RM,92
20,RL,76,,20,RL,76
20,RM,80,,20,RM,80
20,RL,75,,20,RL,75
50,RL,50,,50,RL,50
120,RM,42.08333333,,120,RM,NA
50,RM,50,,50,RM,50
20,RL,99,,20,RL,99
20,RL,40,,20,RL,40
20,RL,78.06569343,,20,RL,NA
60,RL,81.62135922,,60,RL,NA
20,RL,75,,20,RL,75
30,RL,67,,30,RL,67
20,RL,83,,20,RL,83
60,FV,72,,60,FV,72
20,RL,43,,20,RL,43
60,RL,81.62135922,,60,RL,NA
20,RL,72,,20,RL,72
20,RL,65,,20,RL,65
70,RM,57,,70,RM,57
50,RL,67.56410256,,50,RL,NA
120,RL,43,,120,RL,43
20,RL,73,,20,RL,73
60,RL,81.62135922,,60,RL,NA
60,RL,85,,60,RL,85
20,RL,70,,20,RL,70
20,RL,103,,20,RL,103
160,RM,21,,160,RM,21
60,RL,82,,60,RL,82
160,RM,21,,160,RM,21
20,RL,70,,20,RL,70
120,RL,43,,120,RL,43
20,RL,73,,20,RL,73
60,RL,174,,60,RL,174
160,RM,21,,160,RM,21
20,RL,75,,20,RL,75
60,RL,81.62135922,,60,RL,NA
160,RM,21,,160,RM,21
20,RL,65,,20,RL,65
60,RL,81.62135922,,60,RL,NA
20,RL,93,,20,RL,93
50,RL,52,,50,RL,52
20,FV,75,,20,FV,75
30,RM,40,,30,RM,40
50,RM,63,,50,RM,63
160,RL,75,,160,RL,75
60,RL,81.62135922,,60,RL,NA
20,RL,80,,20,RL,80
190,RM,69,,190,RM,69
20,RL,75,,20,RL,75
60,RL,72,,60,RL,72
50,RL,67.56410256,,50,RL,NA
30,RL,55,,30,RL,55
120,RM,44,,120,RM,44
60,RL,65,,60,RL,65
80,RL,85,,80,RL,85
20,RL,70,,20,RL,70
60,RL,66,,60,RL,66
60,FV,64,,60,FV,64
20,RL,68,,20,RL,68
60,RL,80,,60,RL,80
20,RM,70,,20,RM,70
80,RL,120,,80,RL,120
60,RL,69,,60,RL,69
80,RL,88,,80,RL,88
50,RM,50,,50,RM,50
30,RM,30,,30,RM,30
20,RL,78,,20,RL,78
60,RL,70,,60,RL,70
75,RL,60,,75,RL,60
30,RM,71,,30,RM,71
20,RL,78.06569343,,20,RL,NA
60,FV,84,,60,FV,84
20,RL,73,,20,RL,73
60,RL,92,,60,RL,92
20,RL,80,,20,RL,80
20,RL,76,,20,RL,76
50,RL,55,,50,RL,55
20,RL,129,,20,RL,129
20,RL,140,,20,RL,140
20,RL,107,,20,RL,107
60,RL,83,,60,RL,83
60,RL,82,,60,RL,82
20,FV,60,,20,FV,60
120,RL,34,,120,RL,34
20,RL,74,,20,RL,74
120,RL,50,,120,RL,50
160,FV,35,,160,FV,35
50,RL,77,,50,RL,77
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
70,RL,60,,70,RL,60
60,RL,120,,60,RL,120
190,RL,55,,190,RL,55
50,RL,60,,50,RL,60
60,RL,81.62135922,,60,RL,NA
20,RL,80,,20,RL,80
80,RL,37,,80,RL,37
50,RM,75,,50,RM,75
60,FV,66,,60,FV,66
60,RL,90,,60,RL,90
20,RL,80,,20,RL,80
190,RL,90,,190,RL,90
60,RL,66,,60,RL,66
20,RL,118,,20,RL,118
20,RL,70,,20,RL,70
75,RM,87,,75,RM,87
20,RL,80,,20,RL,80
60,RL,116,,60,RL,116
50,RM,57.24444444,,50,RM,NA
30,RL,59.53571429,,30,RL,NA
20,RL,90,,20,RL,90
60,RL,81.62135922,,60,RL,NA
20,RL,50,,20,RL,50
190,RM,65,,190,RM,65
20,RL,150,,20,RL,150
70,RM,60,,70,RM,60
60,RL,71,,60,RL,71
60,RL,94,,60,RL,94
60,FV,75,,60,FV,75
60,RL,90,,60,RL,90
80,RL,80.02631579,,80,RL,NA
60,RL,111,,60,RL,111
60,RL,99,,60,RL,99
60,RL,86,,60,RL,86
20,RM,49,,20,RM,49
80,RL,96,,80,RL,96
45,RM,50,,45,RM,50
120,RL,32,,120,RL,32
20,RL,80,,20,RL,80
75,RL,89.8,,75,RL,NA
70,RM,60,,70,RM,60
90,RL,70.92105263,,90,RL,NA
20,RL,70,,20,RL,70
20,RL,85,,20,RL,85
120,RM,59,,120,RM,59
60,RL,59,,60,RL,59
190,RL,70.85714286,,190,RL,NA
20,RL,86,,20,RL,86
20,RL,70,,20,RL,70
20,RL,91,,20,RL,91
20,RL,66,,20,RL,66
60,RL,85,,60,RL,85
20,RH,60,,20,RH,60
90,RL,70.92105263,,90,RL,NA
120,RL,63,,120,RL,63
160,RM,36,,160,RM,36
50,RL,65,,50,RL,65
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
160,RL,36,,160,RL,36
60,RL,56,,60,RL,56
120,RL,68,,120,RL,68
120,RL,47.0625,,120,RL,NA
50,RL,60,,50,RL,60
30,RM,60,,30,RM,60
50,RL,60,,50,RL,60
20,RL,105,,20,RL,105
20,RL,78.06569343,,20,RL,NA
120,RM,44,,120,RM,44
80,RL,92,,80,RL,92
60,RL,78,,60,RL,78
85,RL,71.57142857,,85,RL,NA
50,RL,67.56410256,,50,RL,NA
85,RL,64,,85,RL,64
160,RM,21,,160,RM,21
60,RL,81.62135922,,60,RL,NA
70,RM,59,,70,RM,59
20,RL,78.06569343,,20,RL,NA
80,RL,101,,80,RL,101
20,RL,78,,20,RL,78
20,RL,78.06569343,,20,RL,NA
60,RL,81.62135922,,60,RL,NA
50,RL,80,,50,RL,80
120,RL,50,,120,RL,50
20,RL,79,,20,RL,79
60,RL,65,,60,RL,65
30,RL,59.53571429,,30,RL,NA
85,RL,57,,85,RL,57
60,FV,102,,60,FV,102
20,RL,88,,20,RL,88
60,RL,60,,60,RL,60
50,RL,50,,50,RL,50
20,FV,60,,20,FV,60
60,RL,79,,60,RL,79
45,RH,60,,45,RH,60
60,RL,81.62135922,,60,RL,NA
120,RL,43,,120,RL,43
50,RL,58,,50,RL,58
80,RL,72,,80,RL,72
20,RL,93,,20,RL,93
60,RL,96,,60,RL,96
50,RL,50,,50,RL,50
60,RL,71,,60,RL,71
20,RL,78.06569343,,20,RL,NA
30,RL,59.53571429,,30,RL,NA
50,RL,60,,50,RL,60
20,RL,68,,20,RL,68
20,RL,60,,20,RL,60
60,RL,69,,60,RL,69
30,RM,60,,30,RM,60
60,FV,65,,60,FV,65
120,RL,38,,120,RL,38
20,RL,65,,20,RL,65
30,RL,60,,30,RL,60
60,RL,93,,60,RL,93
60,RL,81.62135922,,60,RL,NA
20,RL,78.06569343,,20,RL,NA
50,RL,51,,50,RL,51
70,RL,63,,70,RL,63
60,RL,109,,60,RL,109
60,FV,85,,60,FV,85
20,RL,68,,20,RL,68
190,RL,100,,190,RL,100
20,FV,73.58333333,,20,FV,NA
30,RM,56,,30,RM,56
60,RL,59,,60,RL,59
20,RL,73,,20,RL,73
60,RL,74,,60,RL,74
70,RL,86,,70,RL,86
50,RL,60,,50,RL,60
20,RL,65,,20,RL,65
90,RM,78,,90,RM,78
20,RL,78.06569343,,20,RL,NA
20,RL,100,,20,RL,100
60,RL,80,,60,RL,80
20,RL,72,,20,RL,72
60,RM,60,,60,RM,60
80,RL,80.02631579,,80,RL,NA
20,RL,77,,20,RL,77
20,RL,64,,20,RL,64
20,RL,130,,20,RL,130
160,RM,21,,160,RM,21
50,RM,60,,50,RM,60
160,RM,24,,160,RM,24
60,RL,100,,60,RL,100
180,RM,21,,180,RM,21
60,RL,43,,60,RL,43
50,RM,40,,50,RM,40
45,RM,50,,45,RM,50
30,RL,40,,30,RL,40
50,RL,67,,50,RL,67
20,RL,105,,20,RL,105
90,RL,92,,90,RL,92
50,RM,52,,50,RM,52
120,RL,53,,120,RL,53
60,RL,70,,60,RL,70
20,RL,73,,20,RL,73
20,RL,137,,20,RL,137
60,RL,81.62135922,,60,RL,NA
50,RM,50,,50,RM,50
50,RM,50,,50,RM,50
30,RM,70,,30,RM,70
20,RL,62,,20,RL,62
60,RL,81.62135922,,60,RL,NA
60,FV,75,,60,FV,75
90,RL,63,,90,RL,63
20,RL,80,,20,RL,80
70,RM,34,,70,RM,34
20,RL,78.06569343,,20,RL,NA
70,RM,60.28,,70,RM,NA
50,RL,67.56410256,,50,RL,NA
60,FV,75,,60,FV,75
70,RL,60,,70,RL,60
20,RL,60,,20,RL,60
70,RL,74,,70,RL,74
20,RL,60,,20,RL,60
120,RM,42.08333333,,120,RM,NA
20,RL,85,,20,RL,85
70,RL,79,,70,RL,79
20,RL,98,,20,RL,98
60,RL,76,,60,RL,76
120,RL,47.0625,,120,RL,NA
60,RL,92,,60,RL,92
180,RM,35,,180,RM,35
20,RL,110,,20,RL,110
120,RL,41,,120,RL,41
20,RL,80,,20,RL,80
20,RL,75,,20,RL,75
60,RL,105,,60,RL,105
20,RL,79,,20,RL,79
30,RM,50,,30,RM,50
20,RL,98,,20,RL,98
20,RL,72,,20,RL,72
70,RM,50,,70,RM,50
120,RM,32,,120,RM,32
20,RL,78.06569343,,20,RL,NA
20,RL,80,,20,RL,80
20,RL,79,,20,RL,79
20,RL,70,,20,RL,70
190,RL,60,,190,RL,60
180,RM,21,,180,RM,21
160,RM,24.25,,160,RM,NA
50,RL,79,,50,RL,79
60,RL,105,,60,RL,105
20,RL,70,,20,RL,70
30,RM,50,,30,RM,50
30,C (all),60,,30,C (all),60
20,RL,78.06569343,,20,RL,NA
50,RL,60,,50,RL,60
20,RL,65,,20,RL,65
20,RL,70,,20,RL,70
160,RM,21,,160,RM,21
60,FV,75,,60,FV,75
20,RL,70,,20,RL,70
20,RL,100,,20,RL,100
160,RL,24,,160,RL,24
90,RM,60,,90,RM,60
60,RL,80,,60,RL,80
20,FV,75,,20,FV,75
70,RM,60,,70,RM,60
20,RL,80,,20,RL,80
20,RL,75,,20,RL,75
120,RL,40,,120,RL,40
20,RL,70,,20,RL,70
20,RL,71,,20,RL,71
45,RL,55,,45,RL,55
20,RL,94,,20,RL,94
80,RL,80.02631579,,80,RL,NA
60,RL,79,,60,RL,79
60,RL,81.62135922,,60,RL,NA
70,RL,53,,70,RL,53
190,RL,60,,190,RL,60
20,RL,90,,20,RL,90
50,RM,50,,50,RM,50
60,RL,130,,60,RL,130
60,RL,95,,60,RL,95
20,FV,62,,20,FV,62
20,RL,70,,20,RL,70
60,RL,67,,60,RL,67
30,RL,58,,30,RL,58
20,RL,78.06569343,,20,RL,NA
80,RL,85,,80,RL,85
70,RM,60,,70,RM,60
20,RL,60,,20,RL,60
20,RL,50,,20,RL,50
60,RL,74,,60,RL,74
190,RL,70,,190,RL,70
60,RL,57,,60,RL,57
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,85,,20,RL,85
60,RL,81.62135922,,60,RL,NA
20,RL,78,,20,RL,78
120,RH,34,,120,RH,34
60,RL,58,,60,RL,58
50,RL,67.56410256,,50,RL,NA
50,RL,70,,50,RL,70
85,RL,54,,85,RL,54
20,RM,49,,20,RM,49
60,FV,75,,60,FV,75
120,RL,53,,120,RL,53
20,RM,50,,20,RM,50
20,RL,87,,20,RL,87
20,RL,67,,20,RL,67
60,RL,85,,60,RL,85
45,RM,58,,45,RM,58
20,RL,69,,20,RL,69
50,C (all),60,,50,C (all),60
60,RL,57,,60,RL,57
120,RL,47.0625,,120,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,77,,20,RL,77
30,RL,63,,30,RL,63
50,RL,66,,50,RL,66
60,RL,81.62135922,,60,RL,NA
70,RL,66,,70,RL,66
60,RL,77,,60,RL,77
20,RL,70,,20,RL,70
50,RL,79,,50,RL,79
90,RL,70.92105263,,90,RL,NA
90,RL,74,,90,RL,74
20,RL,60,,20,RL,60
60,RL,83,,60,RL,83
80,RL,76,,80,RL,76
80,RL,70,,80,RL,70
50,RL,80,,50,RL,80
50,RL,52,,50,RL,52
80,RL,96,,80,RL,96
160,FV,34,,160,FV,34
50,RM,81,,50,RM,81
20,RL,78.06569343,,20,RL,NA
20,RL,98,,20,RL,98
90,RL,81,,90,RL,81
75,RM,75,,75,RM,75
50,RM,51,,50,RM,51
20,RL,88,,20,RL,88
30,RL,55,,30,RL,55
85,RL,74,,85,RL,74
20,RL,65,,20,RL,65
40,RM,50,,40,RM,50
60,RL,64,,60,RL,64
60,RL,97,,60,RL,97
20,RL,60,,20,RL,60
120,RM,42.08333333,,120,RM,NA
20,RL,88,,20,RL,88
20,RL,69,,20,RL,69
70,RM,60,,70,RM,60
120,RL,53,,120,RL,53
20,RL,80,,20,RL,80
160,RM,24,,160,RM,24
60,RL,74,,60,RL,74
50,RM,50,,50,RM,50
60,RL,80,,60,RL,80
160,FV,30,,160,FV,30
20,RL,88,,20,RL,88
60,RL,85,,60,RL,85
20,RL,82,,20,RL,82
20,RL,78,,20,RL,78
70,RL,78,,70,RL,78
20,RL,61,,20,RL,61
60,RL,81.62135922,,60,RL,NA
80,RL,80.02631579,,80,RL,NA
60,RL,81.62135922,,60,RL,NA
20,RL,70,,20,RL,70
180,RM,21,,180,RM,21
85,RL,80,,85,RL,80
60,RL,81.62135922,,60,RL,NA
45,RL,59,,45,RL,59
20,RL,90,,20,RL,90
60,RL,85,,60,RL,85
30,RL,45,,30,RL,45
60,RL,90,,60,RL,90
20,RL,71,,20,RL,71
160,FV,30.05882353,,160,FV,NA
60,RL,80,,60,RL,80
20,RL,87,,20,RL,87
20,RL,78.06569343,,20,RL,NA
80,RL,80,,80,RL,80
60,RL,70,,60,RL,70
80,RL,82,,80,RL,82
70,RM,50,,70,RM,50
120,RL,34,,120,RL,34
20,RL,85,,20,RL,85
20,RL,80,,20,RL,80
90,RL,64,,90,RL,64
190,RH,60,,190,RH,60
30,RM,51,,30,RM,51
190,RM,50,,190,RM,50
30,RL,67,,30,RL,67
120,RL,53,,120,RL,53
120,RL,62,,120,RL,62
60,FV,76.91304348,,60,FV,NA
80,RL,75,,80,RL,75
60,RL,80,,60,RL,80
20,FV,85,,20,FV,85
20,RL,78.06569343,,20,RL,NA
20,RL,60,,20,RL,60
20,RL,85,,20,RL,85
60,RL,70,,60,RL,70
180,RM,21,,180,RM,21
60,FV,65,,60,FV,65
70,RL,60,,70,RL,60
60,RL,70,,60,RL,70
50,RM,60,,50,RM,60
20,RL,91,,20,RL,91
160,RM,21,,160,RM,21
20,RL,72,,20,RL,72
70,RL,60,,70,RL,60
50,RL,78,,50,RL,78
20,RL,75,,20,RL,75
60,RL,81.62135922,,60,RL,NA
60,RL,52,,60,RL,52
20,RL,120,,20,RL,120
85,RL,90,,85,RL,90
20,RL,49,,20,RL,49
60,RL,106,,60,RL,106
60,RL,81.62135922,,60,RL,NA
20,RL,65,,20,RL,65
20,RL,78.06569343,,20,RL,NA
30,RL,80,,30,RL,80
60,RL,64,,60,RL,64
70,RH,54,,70,RH,54
20,RL,78.06569343,,20,RL,NA
20,RL,110,,20,RL,110
20,RL,80,,20,RL,80
160,RL,24,,160,RL,24
70,RM,60,,70,RM,60
30,RL,52,,30,RL,52
20,RL,80,,20,RL,80
20,RL,78.06569343,,20,RL,NA
120,RL,50,,120,RL,50
50,RH,55,,50,RH,55
120,RL,47.0625,,120,RL,NA
20,RL,90,,20,RL,90
60,RL,58,,60,RL,58
160,RL,34.7,,160,RL,NA
60,FV,84,,60,FV,84
160,FV,30.05882353,,160,FV,NA
20,RL,60,,20,RL,60
120,RL,61,,120,RL,61
120,RM,42.08333333,,120,RM,NA
60,RL,104,,60,RL,104
60,RL,42,,60,RL,42
30,RL,60,,30,RL,60
50,RM,51,,50,RM,51
20,RL,54,,20,RL,54
30,RM,50,,30,RM,50
20,RL,57,,20,RL,57
20,RL,65,,20,RL,65
120,FV,59,,120,FV,59
20,RL,85,,20,RL,85
20,RL,80,,20,RL,80
60,RL,82,,60,RL,82
190,RM,76,,190,RM,76
20,RL,70,,20,RL,70
190,RM,70,,190,RM,70
20,RL,78.06569343,,20,RL,NA
120,RL,48,,120,RL,48
60,RL,65,,60,RL,65
20,RL,78.06569343,,20,RL,NA
30,RL,56,,30,RL,56
50,C (all),66,,50,C (all),66
120,RL,40,,120,RL,40
190,RL,60,,190,RL,60
60,RL,81.62135922,,60,RL,NA
20,RL,78,,20,RL,78
70,RM,60,,70,RM,60
20,RL,80,,20,RL,80
60,RL,96,,60,RL,96
20,RL,69,,20,RL,69
120,RL,47.0625,,120,RL,NA
120,RM,42.08333333,,120,RM,NA
20,RL,70,,20,RL,70
50,RL,60,,50,RL,60
20,RL,86,,20,RL,86
20,RL,60,,20,RL,60
20,RL,78.06569343,,20,RL,NA
20,RL,64,,20,RL,64
90,RL,85,,90,RL,85
