MSSubClass,MSZoning,LotFrontage,,MSSubClass,MSZoning,LotFrontage
30,RM,52,,30,RM,52
120,RL,39,,120,RL,39
80,RL,73,,80,RL,73
60,RL,75,,60,RL,75
20,RL,80,,20,RL,80
20,RL,78.06569343,,20,RL,NA
75,RM,60,,75,RM,60
90,RL,60,,90,RL,60
60,RL,72,,60,RL,72
90,RL,60,,90,RL,60
60,RL,65,,60,RL,65
70,RM,60,,70,RM,60
20,RL,65,,20,RL,65
20,RL,65,,20,RL,65
80,RL,70,,80,RL,70
120,RL,41,,120,RL,41
60,RL,81.62135922,,60,RL,NA
60,RL,81.62135922,,60,RL,NA
70,RM,65,,70,RM,65
20,RL,59,,20,RL,59
50,RL,50,,50,RL,50
50,RM,55,,50,RM,55
60,RL,81.62135922,,60,RL,NA
20,RL,79,,20,RL,79
60,RL,80,,60,RL,80
20,RL,61,,20,RL,61
160,FV,34,,160,FV,34
60,RL,68,,60,RL,68
60,RL,81.62135922,,60,RL,NA
160,FV,24,,160,FV,24
60,RL,65,,60,RL,65
20,RL,70,,20,RL,70
30,RM,60,,30,RM,60
60,FV,72,,60,FV,72
60,RL,82,,60,RL,82
120,RL,30,,120,RL,30
20,RL,75,,20,RL,75
60,RL,80,,60,RL,80
50,RL,75,,50,RL,75
20,RL,70,,20,RL,70
60,RL,47,,60,RL,47
85,RL,71.57142857,,85,RL,NA
20,RL,67,,20,RL,67
80,RL,94,,80,RL,94
20,RL,70,,20,RL,70
20,RL,110,,20,RL,110
120,RM,32,,120,RM,32
20,RL,86,,20,RL,86
20,RL,100,,20,RL,100
90,RH,60,,90,RH,60
90,RL,78,,90,RL,78
20,RL,63,,20,RL,63
60,RL,65,,60,RL,65
20,RL,67,,20,RL,67
85,RL,71.57142857,,85,RL,NA
75,RM,35,,75,RM,35
20,RL,78.06569343,,20,RL,NA
50,RM,60,,50,RM,60
60,RL,76,,60,RL,76
20,RM,50,,20,RM,50
60,RL,81.62135922,,60,RL,NA
120,RL,43,,120,RL,43
80,RL,80.02631579,,80,RL,NA
60,RL,92,,60,RL,92
20,RL,76,,20,RL,76
60,RL,81.62135922,,60,RL,NA
60,RL,70,,60,RL,70
20,RL,71,,20,RL,71
20,RL,57,,20,RL,57
60,RL,104,,60,RL,104
50,RL,60,,50,RL,60
60,RL,79,,60,RL,79
30,RM,40,,30,RM,40
60,RL,63,,60,RL,63
60,RL,107,,60,RL,107
20,RL,75,,20,RL,75
20,RL,91,,20,RL,91
80,RL,75,,80,RL,75
70,RL,144,,70,RL,144
80,RL,85,,80,RL,85
75,RM,90,,75,RM,90
20,RL,78,,20,RL,78
120,RM,42.08333333,,120,RM,NA
20,C (all),66,,20,C (all),66
20,RL,75,,20,RL,75
50,RL,45,,50,RL,45
20,RL,48,,20,RL,48
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
80,RL,80,,80,RL,80
120,RL,44,,120,RL,44
60,RL,72,,60,RL,72
20,RM,60,,20,RM,60
60,RL,81.62135922,,60,RL,NA
50,RL,60,,50,RL,60
20,FV,81,,20,FV,81
20,RL,114,,20,RL,114
45,RM,50,,45,RM,50
20,RL,65,,20,RL,65
60,RL,81.62135922,,60,RL,NA
160,FV,24,,160,FV,24
20,RL,80,,20,RL,80
160,FV,30,,160,FV,30
60,RL,44,,60,RL,44
20,RL,100,,20,RL,100
20,RL,75,,20,RL,75
20,RL,60,,20,RL,60
30,RM,90,,30,RM,90
160,RM,21,,160,RM,21
20,RL,75,,20,RL,75
50,RL,70,,50,RL,70
70,RH,54.5,,70,RH,NA
70,RM,60,,70,RM,60
80,RL,82,,80,RL,82
90,RL,80,,90,RL,80
50,RM,100,,50,RM,100
85,RL,71.57142857,,85,RL,NA
60,RL,75,,60,RL,75
20,RL,36,,20,RL,36
50,RL,75,,50,RL,75
80,RL,80,,80,RL,80
120,RM,36,,120,RM,36
120,RL,47.0625,,120,RL,NA
75,RL,53,,75,RL,53
80,RL,80.02631579,,80,RL,NA
20,RL,102,,20,RL,102
20,RL,78.06569343,,20,RL,NA
80,RL,80.02631579,,80,RL,NA
60,RL,65,,60,RL,65
20,RL,80,,20,RL,80
60,RL,81.62135922,,60,RL,NA
50,RL,55,,50,RL,55
190,RL,75,,190,RL,75
20,RL,81,,20,RL,81
20,RL,70,,20,RL,70
20,FV,72,,20,FV,72
20,RL,78.06569343,,20,RL,NA
20,RL,67,,20,RL,67
20,RL,85,,20,RL,85
60,RL,81.62135922,,60,RL,NA
60,RL,80,,60,RL,80
20,RL,60,,20,RL,60
60,RL,70,,60,RL,70
20,RL,74,,20,RL,74
40,RL,60,,40,RL,60
50,RM,52,,50,RM,52
60,FV,75,,60,FV,75
20,RL,94,,20,RL,94
60,RL,74,,60,RL,74
85,RL,88,,85,RL,88
20,RL,78.06569343,,20,RL,NA
20,RL,60,,20,RL,60
50,RL,44,,50,RL,44
60,RL,81.62135922,,60,RL,NA
75,RL,60,,75,RL,60
20,RL,65,,20,RL,65
120,FV,50,,120,FV,50
90,RL,70,,90,RL,70
50,RL,59,,50,RL,59
20,RL,95,,20,RL,95
20,RL,128,,20,RL,128
50,RL,60,,50,RL,60
60,RL,70,,60,RL,70
20,RL,70,,20,RL,70
20,RL,78.06569343,,20,RL,NA
90,RL,64,,90,RL,64
60,RL,71,,60,RL,71
30,RM,50,,30,RM,50
90,RL,64,,90,RL,64
20,RL,100,,20,RL,100
20,RL,65,,20,RL,65
20,RL,78.06569343,,20,RL,NA
20,RL,64,,20,RL,64
60,RL,63,,60,RL,63
20,RL,50,,20,RL,50
20,RL,78.06569343,,20,RL,NA
20,RL,80,,20,RL,80
20,RL,116,,20,RL,116
50,RL,86,,50,RL,86
20,RL,78.06569343,,20,RL,NA
60,RL,149,,60,RL,149
90,RL,80,,90,RL,80
20,RL,78.06569343,,20,RL,NA
30,RM,51,,30,RM,51
90,RH,82,,90,RH,82
160,FV,30,,160,FV,30
160,RM,21,,160,RM,21
20,C (all),50,,20,C (all),50
20,RL,78.06569343,,20,RL,NA
60,RL,103,,60,RL,103
20,RL,87,,20,RL,87
60,RL,70,,60,RL,70
90,RL,67,,90,RL,67
20,RL,65,,20,RL,65
120,RL,50,,120,RL,50
20,RL,79,,20,RL,79
20,RL,78.06569343,,20,RL,NA
60,RL,93,,60,RL,93
60,RL,81.62135922,,60,RL,NA
20,RL,78.06569343,,20,RL,NA
60,RL,81.62135922,,60,RL,NA
20,RL,73,,20,RL,73
20,RL,70,,20,RL,70
20,RL,84,,20,RL,84
20,RL,63,,20,RL,63
20,RL,313,,20,RL,313
30,RL,52,,30,RL,52
20,RL,67,,20,RL,67
60,RL,75,,60,RL,75
60,RL,73,,60,RL,73
70,RL,72.03703704,,70,RL,NA
90,RL,55,,90,RL,55
60,RL,81.62135922,,60,RL,NA
90,RL,42,,90,RL,42
90,RL,100,,90,RL,100
20,RL,78.06569343,,20,RL,NA
50,RM,98,,50,RM,98
80,RL,70,,80,RL,70
20,RL,85,,20,RL,85
60,RL,65,,60,RL,65
20,RL,78,,20,RL,78
20,RL,60,,20,RL,60
20,RH,60,,20,RH,60
85,RL,60,,85,RL,60
60,RL,81.62135922,,60,RL,NA
90,RL,35,,90,RL,35
90,RH,82,,90,RH,82
160,RM,24,,160,RM,24
20,RL,70,,20,RL,70
20,RL,65,,20,RL,65
160,FV,24,,160,FV,24
20,RL,50,,20,RL,50
60,RL,81.62135922,,60,RL,NA
160,RL,24,,160,RL,24
20,RL,122,,20,RL,122
60,RL,80,,60,RL,80
60,RL,65,,60,RL,65
50,RL,130,,50,RL,130
20,RL,78.06569343,,20,RL,NA
50,RM,50,,50,RM,50
190,RL,75,,190,RL,75
50,RL,60,,50,RL,60
160,RL,36,,160,RL,36
120,RL,55,,120,RL,55
20,FV,95,,20,FV,95
70,RL,60,,70,RL,60
160,FV,30.05882353,,160,FV,NA
30,RL,51,,30,RL,51
120,FV,35,,120,FV,35
20,RL,68,,20,RL,68
20,RL,80,,20,RL,80
85,RL,71.57142857,,85,RL,NA
60,RL,98,,60,RL,98
20,RL,43,,20,RL,43
60,RL,81.62135922,,60,RL,NA
90,RL,75,,90,RL,75
190,RL,68,,190,RL,68
50,RM,59,,50,RM,59
20,RL,83,,20,RL,83
60,RL,81.62135922,,60,RL,NA
60,FV,65,,60,FV,65
60,RL,82,,60,RL,82
70,RM,121,,70,RM,121
60,RL,80,,60,RL,80
60,RL,68,,60,RL,68
20,RL,96,,20,RL,96
50,RL,51,,50,RL,51
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
30,RM,60,,30,RM,60
20,RL,64,,20,RL,64
20,RL,74,,20,RL,74
30,RL,60,,30,RL,60
20,RL,75,,20,RL,75
90,RL,70.92105263,,90,RL,NA
120,RL,43,,120,RL,43
80,RL,65,,80,RL,65
20,RL,78.06569343,,20,RL,NA
160,RM,21,,160,RM,21
20,RL,43,,20,RL,43
50,RL,60,,50,RL,60
50,RL,115,,50,RL,115
90,RL,75,,90,RL,75
70,RL,55,,70,RL,55
30,RM,60,,30,RM,60
20,RL,60,,20,RL,60
60,RL,70,,60,RL,70
20,RL,73,,20,RL,73
120,RL,47.0625,,120,RL,NA
80,RL,80.02631579,,80,RL,NA
120,RL,43,,120,RL,43
20,RL,60,,20,RL,60
20,RL,64,,20,RL,64
50,RM,52,,50,RM,52
120,RL,43,,120,RL,43
20,RL,78.06569343,,20,RL,NA
20,RL,70,,20,RL,70
20,RL,73,,20,RL,73
20,RL,71,,20,RL,71
50,RL,79,,50,RL,79
160,RM,21,,160,RM,21
190,RH,60,,190,RH,NA
75,RL,102,,75,RL,102
60,RL,81.62135922,,60,RL,NA
20,RL,78.06569343,,20,RL,NA
30,RL,50,,30,RL,50
20,RL,78.06569343,,20,RL,NA
20,RL,89,,20,RL,89
60,RL,81.62135922,,60,RL,NA
160,RM,21,,160,RM,21
180,RM,21,,180,RM,21
20,RL,88,,20,RL,88
60,RL,81.62135922,,60,RL,NA
120,RL,34,,120,RL,34
60,RL,86,,60,RL,86
20,RL,80,,20,RL,80
20,RL,78.06569343,,20,RL,NA
60,RL,85,,60,RL,85
20,RL,57,,20,RL,57
20,RL,100,,20,RL,100
20,RL,60,,20,RL,60
20,RL,73,,20,RL,73
20,RL,103,,20,RL,103
60,RL,100,,60,RL,100
20,RL,68,,20,RL,68
60,RL,90,,60,RL,90
20,RL,104,,20,RL,104
120,RL,43,,120,RL,43
60,RL,81.62135922,,60,RL,NA
60,RL,96,,60,RL,96
50,RL,67.56410256,,50,RL,NA
120,RL,41,,120,RL,41
30,C (all),120,,30,C (all),120
190,RM,85,,190,RM,85
30,RM,50,,30,RM,50
20,RL,78.06569343,,20,RL,NA
60,RL,80,,60,RL,80
60,RL,59,,60,RL,59
60,RL,80,,60,RL,80
160,RM,42,,160,RM,42
45,RL,60,,45,RL,60
20,RL,72,,20,RL,72
60,RL,78,,60,RL,78
50,RL,50,,50,RL,50
60,RL,75,,60,RL,75
20,RL,74,,20,RL,74
70,RL,75,,70,RL,75
50,RL,60,,50,RL,60
20,RL,78.06569343,,20,RL,NA
120,RM,37,,120,RM,37
20,RL,65,,20,RL,65
20,RL,80,,20,RL,80
20,RL,75,,20,RL,75
20,RL,70,,20,RL,70
20,RL,80,,20,RL,80
60,RL,81.62135922,,60,RL,NA
85,RL,73,,85,RL,73
160,RM,24.25,,160,RM,NA
60,FV,85,,60,FV,85
160,RM,24,,160,RM,24
120,FV,37,,120,FV,37
90,RL,60,,90,RL,60
160,FV,24,,160,FV,24
50,RL,60,,50,RL,60
20,RL,71,,20,RL,71
20,RL,74,,20,RL,74
20,RL,78,,20,RL,78
70,RM,60,,70,RM,60
120,RL,47.0625,,120,RL,NA
50,RM,50,,50,RM,50
20,RL,82,,20,RL,82
30,RL,60,,30,RL,60
20,RL,61,,20,RL,61
20,RL,70,,20,RL,70
20,RL,79,,20,RL,79
160,RM,24,,160,RM,24
60,RL,98,,60,RL,98
20,RL,114,,20,RL,114
60,RL,168,,60,RL,168
60,RL,81.62135922,,60,RL,NA
20,RL,107,,20,RL,107
60,RL,81.62135922,,60,RL,NA
60,RL,80,,60,RL,80
20,RL,73,,20,RL,73
20,RL,66,,20,RL,66
20,RL,90,,20,RL,90
20,RL,93,,20,RL,93
80,RL,80.02631579,,80,RL,NA
20,RL,57,,20,RL,57
80,RL,85,,80,RL,85
20,RL,70,,20,RL,70
30,RM,59,,30,RM,59
20,RL,84,,20,RL,84
20,RL,78.06569343,,20,RL,NA
20,RL,50,,20,RL,50
80,RL,80.02631579,,80,RL,NA
20,RL,60,,20,RL,60
120,RL,53,,120,RL,53
20,RL,182,,20,RL,182
60,RL,59,,60,RL,59
90,RM,60,,90,RM,60
50,RL,65,,50,RL,65
20,RL,63,,20,RL,63
70,RM,90,,70,RM,90
60,RL,80,,60,RL,80
60,RL,57,,60,RL,57
30,RM,60,,30,RM,60
50,RL,80,,50,RL,80
50,RL,54,,50,RL,54
20,RL,78.06569343,,20,RL,NA
30,RL,98,,30,RL,98
20,RL,60,,20,RL,60
60,RL,81.62135922,,60,RL,NA
60,RL,77,,60,RL,77
20,RL,78.06569343,,20,RL,NA
190,RL,60,,190,RL,60
50,RM,52,,50,RM,52
20,RL,78.06569343,,20,RL,NA
70,RL,75,,70,RL,75
50,RM,57.24444444,,50,RM,NA
70,RM,50,,70,RM,50
20,RL,57,,20,RL,57
20,RL,134,,20,RL,134
20,RL,90,,20,RL,90
30,RM,58.90625,,30,RM,NA
60,RL,81.62135922,,60,RL,NA
20,RL,90,,20,RL,90
80,RL,85,,80,RL,85
120,RL,34,,120,RL,34
20,RL,92,,20,RL,92
60,RL,76,,60,RL,76
160,RL,24,,160,RL,24
20,RL,78.06569343,,20,RL,NA
20,RL,109,,20,RL,109
90,RL,60,,90,RL,60
80,RL,80.02631579,,80,RL,NA
20,RL,79,,20,RL,79
20,RL,64,,20,RL,64
60,RL,58,,60,RL,58
70,RL,120,,70,RL,120
60,RL,118,,60,RL,118
80,RL,76,,80,RL,76
20,RL,76,,20,RL,76
160,FV,35,,160,FV,35
50,RL,138,,50,RL,138
70,RL,80,,70,RL,80
50,RL,85,,50,RL,85
20,RL,37,,20,RL,37
50,RM,57.24444444,,50,RM,NA
50,RL,54,,50,RL,54
20,RL,77,,20,RL,77
60,RL,81.62135922,,60,RL,NA
120,RM,64,,120,RM,64
60,RL,160,,60,RL,160
30,RL,60,,30,RL,60
20,RL,50,,20,RL,50
50,RL,60,,50,RL,60
190,RL,107,,190,RL,107
20,RL,89,,20,RL,89
60,RL,68,,60,RL,68
60,RL,60,,60,RL,60
190,RL,70.85714286,,190,RL,NA
160,FV,24,,160,FV,24
50,RM,60,,50,RM,60
120,RM,42.08333333,,120,RM,NA
60,RL,80,,60,RL,80
60,RL,51,,60,RL,51
60,RL,58,,60,RL,58
75,RM,65,,75,RM,65
20,RL,70,,20,RL,70
20,RL,75,,20,RL,75
20,RL,71,,20,RL,71
60,RL,80,,60,RL,80
50,RM,50,,50,RM,50
20,RL,75,,20,RL,75
20,RL,78,,20,RL,78
20,RL,90,,20,RL,90
20,RH,60,,20,RH,NA
20,RL,70,,20,RL,70
20,RL,70,,20,RL,70
20,RL,85,,20,RL,85
60,RL,70,,60,RL,70
50,RL,152,,50,RL,152
30,RL,50,,30,RL,50
80,RL,80.02631579,,80,RL,NA
85,RL,69,,85,RL,69
20,RL,99,,20,RL,99
90,RM,68,,90,RM,68
20,FV,72,,20,FV,72
50,RM,52,,50,RM,52
160,RM,21,,160,RM,21
20,RL,66,,20,RL,66
20,RL,55,,20,RL,55
50,RL,78,,50,RL,78
20,RL,89,,20,RL,89
60,RL,60,,60,RL,60
80,RL,65,,80,RL,65
60,RL,86,,60,RL,86
20,RL,72,,20,RL,72
120,RL,65,,120,RL,65
80,RL,70,,80,RL,70
90,RL,70.92105263,,90,RL,NA
90,RL,70,,90,RL,70
90,RL,70,,90,RL,70
20,RL,78.06569343,,20,RL,NA
70,RH,55,,70,RH,55
70,RL,96,,70,RL,96
160,RL,36,,160,RL,36
60,RL,41,,60,RL,41
20,RL,63,,20,RL,63
20,RL,64,,20,RL,64
60,RL,65,,60,RL,65
20,RL,83,,20,RL,83
85,RL,85,,85,RL,85
20,RL,107,,20,RL,107
70,RL,72.03703704,,70,RL,NA
80,RL,78,,80,RL,78
60,FV,65,,60,FV,65
80,RL,80.02631579,,80,RL,NA
75,RM,60,,75,RM,60
20,RL,60,,20,RL,60
20,RL,93,,20,RL,93
120,RL,47.0625,,120,RL,NA
20,RL,62,,20,RL,62
60,RL,81.62135922,,60,RL,NA
60,RL,60,,60,RL,60
50,RM,52,,50,RM,52
20,RL,91,,20,RL,91
30,RL,56,,30,RL,56
80,RL,59,,80,RL,59
20,RL,65,,20,RL,65
60,RL,81.62135922,,60,RL,NA
20,RL,80,,20,RL,80
50,RL,67.56410256,,50,RL,NA
70,RL,60,,70,RL,60
120,RH,34,,120,RH,34
160,FV,35,,160,FV,35
190,RM,60,,190,RM,60
20,RL,89,,20,RL,89
50,RL,67.56410256,,50,RL,NA
50,RL,78,,50,RL,78
40,RL,60,,40,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
80,RL,124,,80,RL,124
50,RL,53,,50,RL,53
90,RL,95,,90,RL,95
60,RL,81.62135922,,60,RL,NA
80,RL,80.02631579,,80,RL,NA
60,RL,75,,60,RL,75
50,C (all),60,,50,C (all),60
20,RL,67,,20,RL,67
20,RL,50,,20,RL,50
20,RL,61,,20,RL,61
90,RL,94,,90,RL,94
50,RL,50,,50,RL,50
50,RM,50,,50,RM,50
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
120,RL,40,,120,RL,40
60,RL,86,,60,RL,86
80,RL,80.02631579,,80,RL,NA
160,RM,21,,160,RM,21
70,RM,60,,70,RM,60
60,RL,78,,60,RL,78
20,RL,60,,20,RL,60
20,RL,70,,20,RL,70
20,RL,80,,20,RL,80
180,RM,35,,180,RM,35
60,RL,313,,60,RL,313
20,RL,75,,20,RL,75
60,RL,81.62135922,,60,RL,NA
70,RL,72.03703704,,70,RL,NA
60,RL,92,,60,RL,92
20,RL,73,,20,RL,73
160,RM,32,,160,RM,32
20,RL,108,,20,RL,108
120,RL,48,,120,RL,48
20,RL,60,,20,RL,60
20,RM,100,,20,RM,100
20,RL,78.06569343,,20,RL,NA
20,RL,100,,20,RL,100
20,RL,68,,20,RL,68
60,RL,81.62135922,,60,RL,NA
60,RL,108,,60,RL,108
20,RL,60,,20,RL,60
60,RL,85,,60,RL,85
20,RL,61,,20,RL,61
120,FV,47,,120,FV,47
20,RL,78.06569343,,20,RL,NA
20,RL,75,,20,RL,75
20,RL,70,,20,RL,70
20,RL,78.06569343,,20,RL,NA
60,RL,107,,60,RL,107
30,RL,50,,30,RL,50
20,RL,75,,20,RL,75
30,RM,40,,30,RM,40
30,RH,70,,30,RH,70
20,RL,60,,20,RL,60
50,RM,60,,50,RM,60
60,RL,63,,60,RL,63
20,RL,85,,20,RL,85
80,RL,55,,80,RL,55
20,RL,67,,20,RL,67
50,RM,60,,50,RM,60
160,RM,24,,160,RM,24
20,RL,80,,20,RL,80
90,RL,87,,90,RL,87
30,RM,153,,30,RM,153
60,RL,95,,60,RL,95
20,RL,120,,20,RL,120
20,RL,70,,20,RL,70
20,RL,66,,20,RL,66
60,RL,81.62135922,,60,RL,NA
50,RL,57,,50,RL,57
60,RL,85,,60,RL,85
30,RM,50,,30,RM,50
20,RL,78.06569343,,20,RL,NA
20,RL,93,,20,RL,93
20,RL,78.06569343,,20,RL,NA
70,RM,50,,70,RM,50
90,RL,91,,90,RL,91
60,RL,70,,60,RL,70
50,RM,50,,50,RM,50
50,RL,56,,50,RL,56
60,RL,81.62135922,,60,RL,NA
80,RL,102,,80,RL,102
20,RL,78.06569343,,20,RL,NA
20,RL,78.06569343,,20,RL,NA
160,FV,30.05882353,,160,FV,NA
20,RL,129,,20,RL,129
70,RL,51,,70,RL,51
20,RL,124,,20,RL,124
50,RL,67.56410256,,50,RL,NA
60,RL,73,,60,RL,73
160,FV,30,,160,FV,30
60,FV,76.91304348,,60,FV,NA
60,RL,68,,60,RL,68
160,RM,41,,160,RM,41
120,RM,42.08333333,,120,RM,NA
20,RL,48,,20,RL,48
50,RL,90,,50,RL,90
80,RL,80,,80,RL,80
60,RL,75,,60,RL,75
20,RL,78.06569343,,20,RL,NA
60,FV,85,,60,FV,85
20,RL,89,,20,RL,89
30,RL,52,,30,RL,52
50,RL,60,,50,RL,60
160,RM,21,,160,RM,21
80,RL,73,,80,RL,73
30,RL,45,,30,RL,45
20,RL,78.06569343,,20,RL,NA
70,RM,60,,70,RM,60
30,RL,59.53571429,,30,RL,NA
50,RL,60,,50,RL,60
50,RM,40,,50,RM,40
60,RL,80,,60,RL,80
50,RM,60,,50,RM,60
20,RL,42,,20,RL,42
50,RM,60,,50,RM,60
20,RL,70,,20,RL,70
90,RL,65,,90,RL,65
85,RL,68,,85,RL,68
190,RM,60,,190,RM,60
120,RL,53,,120,RL,53
60,RL,88,,60,RL,88
20,RL,78.06569343,,20,RL,NA
70,RM,51,,70,RM,51
50,RL,60,,50,RL,60
50,RL,51,,50,RL,51
50,RM,50,,50,RM,50
60,RL,62,,60,RL,62
20,RL,64,,20,RL,64
20,RL,49,,20,RL,49
50,RL,60,,50,RL,60
120,RM,44,,120,RM,44
85,RL,70,,85,RL,70
20,RL,78.06569343,,20,RL,NA
70,RM,60,,70,RM,60
60,RL,46,,60,RL,46
60,RL,79,,60,RL,79
50,RL,80,,50,RL,80
90,RL,60,,90,RL,60
20,RL,88,,20,RL,88
50,RL,64,,50,RL,64
120,RL,51,,120,RL,51
190,RM,60,,190,RM,60
60,RL,81.62135922,,60,RL,NA
20,RL,71,,20,RL,71
20,RL,78.06569343,,20,RL,NA
60,RL,90,,60,RL,90
120,RL,53,,120,RL,53
120,RM,37,,120,RM,37
80,RL,80.02631579,,80,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,80,,20,RL,80
60,RL,81,,60,RL,81
50,RL,60,,50,RL,60
30,RM,60,,30,RM,60
20,RL,78.06569343,,20,RL,NA
60,RL,60,,60,RL,60
120,RL,47.0625,,120,RL,NA
30,RL,60,,30,RL,60
60,RL,93,,60,RL,93
20,RL,80,,20,RL,80
20,RL,80,,20,RL,80
20,RL,60,,20,RL,60
20,RL,96,,20,RL,96
20,RM,90,,20,RM,90
60,RL,80,,60,RL,80
70,RL,79,,70,RL,79
120,RM,42.08333333,,120,RM,NA
60,FV,85,,60,FV,85
30,RL,59.53571429,,30,RL,NA
20,RL,63,,20,RL,63
85,RL,70,,85,RL,70
20,RL,78.06569343,,20,RL,NA
60,RL,80,,60,RL,80
50,RL,70,,50,RL,70
180,RM,21,,180,RM,21
90,RL,60,,90,RL,60
20,RL,78,,20,RL,78
180,RM,35,,180,RM,35
20,RL,90,,20,RL,90
20,FV,62,,20,FV,62
60,RL,62,,60,RL,62
20,RL,85,,20,RL,85
70,RL,66,,70,RL,66
20,RL,68,,20,RL,68
20,RL,75,,20,RL,75
